product_id,product_name,category,price,views,orders,inventory
PROD001,Product 1,Beauty,1877.14,17643,803,90
PROD002,Product 2,Beauty,2817.23,15534,458,304
PROD003,Product 3,Home,5846.52,5829,575,432
PROD004,Product 4,Beauty,10590.67,14835,669,480
PROD005,Product 5,Electronics,1525.73,3751,109,8
PROD006,Product 6,Home,11298.92,13976,126,319
PROD007,Product 7,Home,7649.25,18349,122,412
PROD008,Product 8,Beauty,12805.09,1569,703,108
PROD009,Product 9,Home,8363.05,7803,815,58
PROD010,Product 10,Home,14268.11,6908,896,179
PROD011,Product 11,Home,311.56,15702,442,191
PROD012,Product 12,Beauty,4159.88,7837,539,337
PROD013,Product 13,Home,10164.53,9167,334,2
PROD014,Product 14,Electronics,587.48,14084,53,404
PROD015,Product 15,Sports,12336.33,12768,880,307
PROD016,Product 16,Fashion,14395.54,10902,363,220
PROD017,Product 17,Home,3050.57,8424,589,329
PROD018,Product 18,Electronics,12059.51,13388,868,295
PROD019,Product 19,Home,14664.84,14560,151,88
PROD020,Product 20,Beauty,7855.22,13709,945,223
PROD021,Product 21,Fashion,7662.51,8068,121,323
PROD022,Product 22,Home,12676.7,19404,823,321
PROD023,Product 23,Sports,2553.15,9027,877,165
PROD024,Product 24,Electronics,578.5,7176,115,5
PROD025,Product 25,Electronics,9347.49,19940,176,278
PROD026,Product 26,Home,573.32,3081,605,375
PROD027,Product 27,Beauty,2960.2,4777,484,334
PROD028,Product 28,Fashion,8123.71,7766,324,125
PROD029,Product 29,Beauty,9956.67,12889,808,140
PROD030,Product 30,Fashion,9485.71,3218,977,326
PROD031,Product 31,Electronics,1840.9,19484,907,474
PROD032,Product 32,Fashion,4379.74,4520,129,458
PROD033,Product 33,Electronics,7514.32,6418,115,185
PROD034,Product 34,Electronics,7466.84,7314,420,11
PROD035,Product 35,Home,14396.37,14057,95,39
PROD036,Product 36,Home,5753.14,7390,723,160
PROD037,Product 37,Fashion,2860.32,15274,847,5
PROD038,Product 38,Sports,9541.59,6354,695,437
PROD039,Product 39,Beauty,14907.34,1530,140,247
PROD040,Product 40,Fashion,7921.4,18407,25,130
PROD041,Product 41,Sports,636.45,4484,217,11
PROD042,Product 42,Fashion,3400.55,17473,544,186
PROD043,Product 43,Fashion,635.59,4261,940,70
PROD044,Product 44,Fashion,4159.61,7701,105,246
PROD045,Product 45,Electronics,5357.94,7028,996,282
PROD046,Product 46,Home,6653.15,10144,498,484
PROD047,Product 47,Fashion,3900.63,13605,964,101
PROD048,Product 48,Electronics,8837.58,9710,422,392
PROD049,Product 49,Fashion,11952.47,19753,339,488
PROD050,Product 50,Home,6470.74,16485,463,382
PROD051,Product 51,Beauty,9418.71,9402,855,310
PROD052,Product 52,Fashion,8593.27,13051,459,191
PROD053,Product 53,Fashion,13363.74,2605,480,490
PROD054,Product 54,Sports,6264.57,17256,279,309
PROD055,Product 55,Home,642.14,17883,380,92
PROD056,Product 56,Fashion,5493.98,11073,459,37
PROD057,Product 57,Beauty,5704.44,7551,692,399
PROD058,Product 58,Electronics,4914.44,10803,145,5
PROD059,Product 59,Home,8598.11,11276,238,164
PROD060,Product 60,Electronics,5906.13,8123,595,308
PROD061,Product 61,Fashion,1722.32,7452,559,142
PROD062,Product 62,Home,10295.23,2951,607,222
PROD063,Product 63,Beauty,3131.82,10913,852,25
PROD064,Product 64,Electronics,14855.83,16685,530,215
PROD065,Product 65,Home,2732.04,4407,147,167
PROD066,Product 66,Fashion,8730.5,19871,412,145
PROD067,Product 67,Sports,14821.72,1084,679,466
PROD068,Product 68,Fashion,12656.16,15631,311,206
PROD069,Product 69,Sports,13786.83,1712,937,20
PROD070,Product 70,Electronics,1226.99,11555,680,48
PROD071,Product 71,Beauty,4264.44,14101,760,385
PROD072,Product 72,Electronics,8435.02,11831,429,160
PROD073,Product 73,Electronics,6020.64,16681,647,356
PROD074,Product 74,Electronics,12677.36,15395,525,480
PROD075,Product 75,Fashion,906.99,3866,49,5
PROD076,Product 76,Beauty,12948.42,5046,127,370
PROD077,Product 77,Fashion,1501.74,14776,251,370
PROD078,Product 78,Sports,14845.55,12587,855,478
PROD079,Product 79,Electronics,1839.0,2220,285,484
PROD080,Product 80,Beauty,5073.4,10470,96,313
PROD081,Product 81,Fashion,13887.83,12937,296,298
PROD082,Product 82,Fashion,4925.44,15596,142,75
PROD083,Product 83,Home,9625.81,19640,929,342
PROD084,Product 84,Sports,3758.99,4509,554,244
PROD085,Product 85,Beauty,11634.9,16559,307,247
PROD086,Product 86,Beauty,11539.56,7900,114,364
PROD087,Product 87,Sports,12565.86,3213,381,124
PROD088,Product 88,Electronics,1311.21,7246,731,253
PROD089,Product 89,Electronics,10123.06,2474,237,239
PROD090,Product 90,Home,1746.22,13117,212,106
PROD091,Product 91,Sports,7805.64,19850,799,160
PROD092,Product 92,Home,9897.94,10717,745,434
PROD093,Product 93,Fashion,3437.23,17031,128,186
PROD094,Product 94,Sports,7798.78,13134,483,399
PROD095,Product 95,Electronics,4311.29,13613,212,84
PROD096,Product 96,Sports,9795.72,10564,994,75
PROD097,Product 97,Electronics,11226.13,15604,917,123
PROD098,Product 98,Home,2967.23,1043,935,14
PROD099,Product 99,Sports,6898.54,16105,697,135
PROD100,Product 100,Sports,1443.27,4377,969,220
